name,Price,kms_driven,fuel_type
Chevrolet Beat LS,120000,43000,Petrol
Tata Indigo eCS,320000,175430,Diesel
Hyundai Santro Xing,59000,56450,Petrol
Hyundai Fluidic Verna,540000,38000,Diesel
Chevrolet Beat LS,80000,56000,Petrol
Mahindra Quanto C8,340000,37000,Diesel
Fiat Petra ELX,75000,65000,Petrol
Chevrolet Beat LS,220000,32700,Petrol
Skoda Fabia 1.2L,159500,38200,Diesel
Ford EcoSport Titanium,599000,30000,Diesel
Hyundai Accent GLX,80000,56000,Petrol
Mahindra TUV300 T4,675000,9000,Diesel
Mini Cooper S,1891111,13000,Petrol
Mini Cooper S,1891111,13000,Petrol
Tata Indica V2,150000,11000,Petrol
Mini Cooper S,1891111,13000,Petrol
Tata Indigo CS,72500,46000,Diesel
Maruti Suzuki Swift,610000,73,Petrol
Mahindra Scorpio VLX,230000,160000,Diesel
Honda Accord,175000,58559,Petrol
Mahindra Scorpio S4,855000,30000,Diesel
Chevrolet Tavera Neo,375000,55000,Diesel
Ford EcoSport Titanium,520000,57000,Diesel
Maruti Suzuki Ertiga,524999,50000,Diesel
Honda Amaze,299999,37000,Petrol
Maruti Suzuki Dzire,299999,40000,Petrol
Honda City,284999,55000,Petrol
Mahindra Scorpio 2.6,220000,170000,Diesel
Maruti Suzuki Dzire,424999,55000,Diesel
Honda City,644999,39000,Petrol
Honda Mobilio,399999,44000,Petrol
Toyota Corolla Altis,199999,65000,Petrol
Honda City,584999,39000,Petrol
Skoda Laura,349999,44000,Diesel
Renault Duster,449999,49000,Diesel
Maruti Suzuki Ertiga,799999,9000,Diesel
Maruti Suzuki Dzire,444999,45000,Diesel
Mahindra XUV500,649999,47000,Diesel
Hyundai Verna Fluidic,444999,40000,Diesel
Maruti Suzuki Vitara,689999,29000,Diesel
Maruti Suzuki Wagon,344999,15000,Petrol
Mahindra Scorpio,944999,45000,Diesel
Honda Amaze,274999,35000,Petrol
Mahindra XUV500,689999,80000,Diesel
Mahindra Scorpio,574999,68000,Diesel
Skoda Laura,374999,50000,Diesel
Volkswagen Polo,199999,60000,Diesel
Hyundai Elite i20,549999,9000,Petrol
Tata Manza Aura,130000,72000,Diesel
Chevrolet Sail UVA,210000,60000,Petrol
Renault Duster 110,501000,38000,Diesel
Hyundai Verna Fluidic,401000,45000,Diesel
Audi A4 2.0,1350000,40000,Diesel
Hyundai Elantra SX,600000,20000,Petrol
Mahindra Scorpio VLX,610000,35000,Diesel
Mahindra KUV100 K8,400000,20000,Diesel
Renault Scala RxL,375000,25000,Diesel
Mahindra Quanto C8,375000,20000,Diesel
Hyundai Grand i10,365000,20000,Petrol
Hyundai i20 Active,500000,18000,Petrol
Mahindra Xylo E4,400000,35000,Diesel
Hyundai Grand i10,524999,6821,Petrol
Hyundai i20,449999,23000,Petrol
Hyundai Eon,174999,14000,Petrol
Hyundai i10,244999,38000,Petrol
Hyundai i20 Active,574999,35000,Diesel
Datsun Redi GO,244999,22000,Petrol
Toyota Etios Liva,239999,41000,Petrol
Hyundai Accent,99999,45000,Petrol
Hyundai Verna,489999,44000,Diesel
Maruti Suzuki Swift,324999,45000,Diesel
Toyota Fortuner,1074999,52000,Diesel
Hyundai i10 Sportz,230000,34000,Petrol
Mahindra Bolero Power,699000,1800,Diesel
Mahindra XUV500,1000000,15000,Diesel
Honda City 1.5,240000,400000,Petrol
Chevrolet Spark LT,110000,44000,Petrol
Mahindra Jeep MM,390000,60,Diesel
Renault Duster 110PS,501000,35000,Diesel
Mahindra XUV500,1130000,72000,Diesel
Tata Indigo eCS,250000,40000,Diesel
Mahindra Bolero SLE,330000,80200,Diesel
Force Motors Force,580000,3200,Diesel
Skoda Rapid Elegance,340000,48000,Diesel
Tata Vista Quadrajet,120000,90000,Diesel
Maruti Suzuki Alto,265000,12000,Petrol
Maruti Suzuki SX4,265000,46000,Diesel
Maruti Suzuki Zen,85000,69900,Petrol
Mahindra Jeep CL550,379000,0,Diesel
Hyundai i10 Magna,175000,45000,Petrol
Maruti Suzuki Alto,219000,5000,Petrol
Maruti Suzuki Swift,350000,166000,Diesel
Honda City ZX,149000,42000,Petrol
Mahindra Jeep CL550,385000,588,Diesel
Mahindra Jeep MM,425000,122,Diesel
Chevrolet Beat Diesel,150000,62000,Diesel
Honda City 1.5,225000,70000,Petrol
Hyundai Verna 1.4,375000,36000,Petrol
Toyota Innova 2.5,770000,0,Diesel
Maruti Suzuki Maruti,30000,55000,Petrol
Toyota Etios,275000,36000,Diesel
Volkswagen Polo,330000,38000,Diesel
Maruti Suzuki Swift,335000,55000,Diesel
Hyundai Elite i20,450000,20000,Diesel
Maruti Suzuki Swift,225000,40000,Petrol
Maruti Suzuki Versa,80000,50000,Petrol
Tata Indigo LX,130000,104000,Diesel
Volkswagen Vento Konekt,245000,65000,Diesel
Mercedes Benz C,399000,41000,Petrol
Maruti Suzuki Ertiga,450000,90000,Diesel
Honda City,65000,80000,Petrol
Hyundai Santro Xing,75000,46000,Petrol
Maruti Suzuki Omni,70000,70000,Petrol
Hyundai Sonata Transform,190000,36469,Diesel
Hyundai Elite i20,600000,7800,Petrol
Volkswagen Vento Konekt,245000,65000,Diesel
Maruti Suzuki Alto,240000,60000,Petrol
Maruti Suzuki Alto,155000,32000,Petrol
Honda Jazz S,169999,24695,Petrol
Hyundai Grand i10,450000,15141,Petrol
Maruti Suzuki Zen,40000,40000,Petrol
Mahindra Scorpio W,165000,65000,Diesel
Maruti Suzuki Alto,270000,22000,Petrol
Hyundai Grand i10,280000,59910,Diesel
Mahindra XUV500 W8,560000,100000,Diesel
Hyundai Creta 1.6,950000,25000,Petrol
Hyundai i20 Magna,310000,35000,Petrol
Renault Duster 85,715000,65000,Diesel
Hyundai Grand i10,340000,35000,Petrol
Honda Brio V,235000,33000,Petrol
Mahindra TUV300 T4,610000,68000,Diesel
Chevrolet Spark LS,95000,23000,Petrol
Mahindra TUV300 T8,1000000,4500,Diesel
Maruti Suzuki Swift,220000,129000,Diesel
Nissan X Trail,1200000,300,Diesel
Maruti Suzuki Alto,230000,5000,Petrol
Ford Ikon 1.3,45000,65000,Petrol
Toyota Fortuner 3.0,940000,131000,Diesel
Tata Manza ELAN,155555,111111,Petrol
Mercedes Benz A,1500000,14000,Petrol
Chevrolet Beat LS,210000,22000,Diesel
Ford EcoSport Trend,495000,38000,Diesel
Tata Indigo LS,125000,70000,Diesel
Hyundai i20 Magna,195000,36000,Petrol
Volkswagen Vento Highline,550000,34000,Diesel
Renault Kwid RXT,270000,43000,Petrol
Ford EcoSport Titanium,500000,40000,Diesel
Honda Amaze 1.5,240000,160000,Diesel
Hyundai Verna 1.6,800000,12000,Petrol
BMW 5 Series,1299000,49000,Diesel
Skoda Superb 1.8,530000,68000,Petrol
Audi Q3 2.0,1499000,37000,Diesel
Mahindra Bolero DI,220000,59466,Diesel
Mahindra Scorpio S10,900000,97200,Diesel
Ford Figo Duratorq,250000,99000,Diesel
Maruti Suzuki Wagon,395000,25500,Petrol
Mahindra Logan Diesel,130000,66000,Petrol
Tata Nano GenX,32000,44005,Petrol
Mahindra TUV300 T4,540000,35000,Diesel
Mahindra TUV300 T4,540000,35000,Diesel
Hyundai Elite i20,405000,28000,Petrol
Hyundai Elite i20,400000,30000,Petrol
Honda City SV,760000,4000,Petrol
Maruti Suzuki Baleno,500000,28000,Petrol
Ford Figo Petrol,175000,75000,Petrol
Mahindra Scorpio S10,900000,97200,Diesel
Honda City,750000,3000,Petrol
Hyundai Elite i20,419000,20000,Petrol
Maruti Suzuki Versa,90000,50000,Petrol
Hyundai Eon Era,140000,2110,Petrol
Mitsubishi Pajero Sport,1540000,43222,Petrol
Hyundai i10 Magna,275000,100200,Petrol
Toyota Corolla H2,150000,100000,Petrol
Maruti Suzuki Swift,230000,65,Petrol
Tata Indigo CS,123000,100000,Diesel
Mahindra Scorpio S10,900000,97200,Diesel
Mahindra Scorpio S10,900000,97200,Diesel
Hyundai Xcent Base,300000,140000,Diesel
Honda City,499999,55000,Petrol
Hyundai Accent Executive,165000,48000,Petrol
Maruti Suzuki Baleno,498000,22000,Petrol
Tata Zest XE,480000,103553,Diesel
Maruti Suzuki Dzire,488000,80000,Diesel
Tata Sumo Gold,250000,99000,Diesel
Toyota Corolla Altis,220000,58000,Petrol
Maruti Suzuki Eeco,290000,70000,LPG
Toyota Fortuner 3.0,1525000,120000,Diesel
Mahindra XUV500 W6,548900,49800,Diesel
Tata Tigor Revotron,650000,100,Diesel
Maruti Suzuki 800,55000,81876,Petrol
Maruti Suzuki Ertiga,550000,75000,Petrol
Maruti Suzuki Versa,90000,50000,Petrol
Honda Mobilio S,399000,44000,Diesel
Maruti Suzuki Ertiga,730000,55000,Diesel
Maruti Suzuki Vitara,725000,36000,Diesel
Hyundai Verna 1.6,195000,56000,Diesel
Maruti Suzuki Swift,130000,62000,Petrol
Toyota Fortuner 3.0,1525000,120000,Diesel
Maruti Suzuki Omni,190000,6020,Petrol
Honda Amaze,250000,55700,Diesel
Tata Indica,80000,42000,Petrol
Hyundai Santro Xing,120000,50000,Petrol
Maruti Suzuki Zen,149000,35000,Petrol
Maruti Suzuki Wagon,250000,18500,Petrol
Maruti Suzuki Wagon,120000,7000,Petrol
Honda Brio VX,450000,11000,Petrol
Maruti Suzuki Zen,99999,53000,Petrol
Maruti Suzuki Zen,135000,23000,Petrol
Maruti Suzuki Wagon,225000,35500,Diesel
Maruti Suzuki Alto,99000,22134,Petrol
Renault Kwid RXT,370000,1000,Petrol
Tata Nano Lx,52000,9000,Petrol
Jaguar XE XE,2800000,8500,Petrol
Hyundai Eon Magna,190000,35000,Petrol
Honda City 1.5,499000,22000,Petrol
Hindustan Motors Ambassador,90000,25000,Diesel
Maruti Suzuki Ritz,149000,40000,Petrol
Hyundai Grand i10,400000,20000,Petrol
Hyundai Eon D,120000,87000,Petrol
Maruti Suzuki Swift,250000,55000,Petrol
Maruti Suzuki Wagon,375000,23000,Petrol
Honda Amaze 1.2,381000,6000,Petrol
Maruti Suzuki Estilo,180000,65000,Petrol
Maruti Suzuki Vitara,580000,25000,Diesel
Maruti Suzuki Eeco,278000,39000,Petrol
Hyundai Creta 1.6,1000000,8000,Petrol
Mahindra Scorpio Vlx,690000,75000,Diesel
Maruti Suzuki Ertiga,480000,51000,Diesel
Mitsubishi Lancer 1.8,85000,50000,Petrol
Maruti Suzuki Maruti,40000,75000,Petrol
Maruti Suzuki Alto,90000,55800,Petrol
Hyundai Grand i10,340000,53000,Petrol
Hyundai Eon D,260000,25000,Petrol
Ford Fiesta SXi,250000,56400,Petrol
Maruti Suzuki Ritz,180000,72160,Diesel
Hyundai Verna Fluidic,350000,10000,Diesel
Maruti Suzuki Wagon,90001,48000,Petrol
Maruti Suzuki Estilo,115000,36000,Petrol
Audi A6 2.0,1599000,11500,Diesel
Maruti Suzuki Wagon,130000,133000,Petrol
Maruti Suzuki Wagon,159000,27000,Petrol
Maruti Suzuki Wagon,160000,35000,Petrol
Maruti Suzuki Alto,110000,55000,Petrol
Maruti Suzuki Baleno,425000,40000,Petrol
Hyundai Verna 1.6,900000,2000,Petrol
Maruti Suzuki Swift,150000,45000,Petrol
Hyundai Getz Prime,110000,20000,Petrol
Hyundai Santro,51999,88000,Petrol
Hyundai Getz Prime,115000,20000,Petrol
Chevrolet Beat PS,215000,65422,Diesel
Ford EcoSport Trend,580000,10000,Petrol
Maruti Suzuki Dzire,380000,35000,Petrol
Hyundai Fluidic Verna,350000,117000,Diesel
Tata Indica V2,35000,150000,Diesel
BMW X1 xDrive20d,1150000,72000,Diesel
Hyundai i20 Asta,300000,10750,Petrol
Honda City 1.5,269000,55000,Petrol
Tata Nano,60000,6800,Petrol
Chevrolet Cruze LTZ,400000,41000,Diesel
Hyundai Verna Fluidic,430000,73000,Diesel
Maruti Suzuki Swift,140000,65000,Diesel
Mahindra XUV500 W6,8500003,45000,Diesel
Mahindra XUV500 W10,1299000,40000,Diesel
Maruti Suzuki Alto,199000,37000,Petrol
Hyundai Accent GLE,90000,55000,Petrol
Force Motors One,550000,140000,Diesel
Maruti Suzuki Alto,265000,9800,Petrol
Chevrolet Spark 1.0,100000,27000,Petrol
Hyundai i10,215000,27000,Petrol
Toyota Etios Liva,380000,20000,Diesel
Renault Duster 85PS,401919,57923,Diesel
Chevrolet Enjoy,490000,30201,Diesel
Maruti Suzuki Alto,280000,6200,Petrol
BMW 5 Series,650000,37518,Petrol
Toyota Etios Liva,160000,24652,Petrol
Mahindra Jeep MM,424000,383,Diesel
Chevrolet Beat LS,225000,95000,Diesel
Chevrolet Cruze LTZ,350000,35000,Diesel
Jeep Wrangler Unlimited,950000,3528,Diesel
Maruti Suzuki Ertiga,485000,52500,Diesel
Hyundai Verna VGT,205000,47900,Diesel
Maruti Suzuki Omni,160000,14000,Petrol
Maruti Suzuki Celerio,310000,37000,Petrol
Tata Zest Quadrajet,180000,90000,Diesel
Mahindra XUV500 W6,549900,52800,Diesel
Tata Indigo CS,150000,104000,Diesel
Hyundai i10 Era,175000,30000,Petrol
Tata Indigo eCS,95000,195000,Diesel
Tata Indigo LX,230000,104000,Diesel
Tata Indigo eCS,230000,104000,Diesel
Tata Indigo Marina,180000,70000,Diesel
Hyundai Xcent SX,400000,43000,Diesel
Hyundai Eon Magna,185000,23000,Petrol
Renault Duster 85,385000,51000,Diesel
Maruti Suzuki Alto,90000,62000,Petrol
Tata Nano LX,32000,48008,Petrol
Renault Duster 110,435000,39000,Diesel
Maruti Suzuki Wagon,225000,40000,Petrol
Maruti Suzuki Swift,189700,48247,Petrol
Maruti Suzuki Ertiga,389700,39000,Diesel
Maruti Suzuki Swift,365000,23000,Petrol
Maruti Suzuki Alto,360000,9400,Petrol
Hyundai i20 Magna,210000,50000,Petrol
Hyundai i10 Magna,170000,75000,Petrol
Tata Zest XE,380000,70000,Diesel
Mahindra Xylo E8,295000,64000,Diesel
Toyota Corolla Altis,185000,55000,Petrol
Tata Manza Aqua,160000,200000,Diesel
Renault Kwid 1.0,290000,2137,Petrol
Tata Venture EX,100000,30000,Diesel
Maruti Suzuki Swift,315000,44000,Petrol
Skoda Octavia Classic,114990,65000,Diesel
Maruti Suzuki Omni,120000,160000,LPG
Chevrolet Beat Diesel,125000,56000,Diesel
Tata Sumo Gold,210000,75000,Diesel
Hyundai Verna 1.6,855000,42000,Diesel
Tata Sumo Gold,210000,75000,Diesel
Mahindra Scorpio 2.6,260000,56000,Diesel
Maruti Suzuki Zen,95000,10544,Petrol
Maruti Suzuki Swift,255000,64000,Petrol
Mahindra Scorpio SLX,300000,70000,Diesel
Hyundai Grand i10,340000,25000,Petrol
Hyundai Elite i20,550000,15000,Petrol
Ford Ikon 1.6,60000,50000,Petrol
Toyota Innova 2.5,750000,147000,Diesel
Nissan Sunny XL,230000,52000,Petrol
Chevrolet Beat LT,130000,90001,Diesel
Maruti Suzuki Alto,270000,21000,Petrol
Maruti Suzuki Swift,280000,48006,Diesel
Maruti Suzuki Swift,280000,48006,Diesel
Maruti Suzuki Swift,280000,48006,Diesel
Toyota Innova 2.0,600000,80000,Diesel
Maruti Suzuki Swift,190000,74000,Diesel
Hyundai Elite i20,500000,22000,Petrol
Mahindra XUV500 W10,1065000,41000,Diesel
Volkswagen Polo Trendline,350000,25000,Diesel
Toyota Etios Liva,350000,85000,Diesel
Mahindra TUV300 T4,540000,29500,Diesel
Hyundai Elite i20,470000,30000,Petrol
Hyundai Santro Xing,179000,57000,Petrol
